                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1924,                 1.6078,                 1.1465,                0.77281,                0.64231,                0.69956,                0.49632,                 1.0789,                0.76438,                 1.0212,              0.0033295,              0.0033295,              0.0033295
                      2,                  1.116,                0.89574,                  1.073,                0.75654,                0.65165,                0.70784,                0.48935,                 1.0815,                0.80056,                 1.0355,              0.0065969,              0.0065969,              0.0065969
                      3,                  1.191,                0.95331,                 1.1091,                0.70236,                0.56379,                0.60404,                0.40388,                 1.1688,                0.91263,                 1.0956,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.2458,                 1.0099,                 1.1451,                0.70649,                0.60401,                0.64833,                0.43599,                 1.1627,                 0.8507,                 1.0882,               0.009703,               0.009703,               0.009703
                      5,                 1.2103,                0.92828,                 1.1258,                 0.8118,                 0.6481,                0.71637,                0.49095,                 1.1017,                0.75261,                 1.0582,               0.009604,               0.009604,               0.009604
                      6,                 1.1625,                0.86973,                 1.1107,                0.78866,                0.67466,                0.72956,                  0.506,                  1.058,                0.74978,                 1.0436,               0.009505,               0.009505,               0.009505
                      7,                 1.1531,                0.82583,                  1.097,                0.77646,                0.68782,                0.73681,                0.51308,                 1.0725,                0.71407,                 1.0411,               0.009406,               0.009406,               0.009406
                      8,                 1.1314,                0.79434,                 1.0883,                0.81643,                 0.6993,                0.75873,                0.52726,                  1.083,                0.67873,                 1.0387,               0.009307,               0.009307,               0.009307
                      9,                  1.108,                0.76348,                 1.0798,                0.81833,                0.73322,                0.78249,                0.55905,                 1.0352,                0.64601,                 1.0177,               0.009208,               0.009208,               0.009208
                     10,                 1.0922,                0.74751,                  1.075,                 0.8175,                0.74712,                0.79291,                0.56494,                 1.0358,                0.62813,                 1.0169,               0.009109,               0.009109,               0.009109
                     11,                 1.0844,                0.72274,                 1.0602,                0.83267,                0.74311,                0.80528,                0.57872,                 1.0159,                0.60711,                  1.009,                0.00901,                0.00901,                0.00901
