                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6223,                 6.3002,                 4.1693,                 0.0005,                0.03284,                0.00035,                  9e-05,                 3.3009,                 5.0449,                 4.1634,             0.00013863,             0.00013863,             0.00013863
                      2,                 3.2724,                 6.2762,                 3.8604,                0.00032,                0.01524,                0.00021,                  6e-05,                    nan,                    nan,                    nan,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1574,                 5.9196,                 3.5803,                0.00015,                0.00196,                0.00032,                  4e-05,                 3.1384,                 4.6854,                 3.5274,             0.00040838,             0.00040838,             0.00040838
                      4,                 3.1648,                 5.6499,                 3.4359,                0.10018,                0.00111,                  8e-05,                  1e-05,                 3.1711,                 4.6566,                 3.4352,             0.00040462,             0.00040462,             0.00040462
                      5,                 3.1218,                 5.5335,                  3.333,                0.00024,                0.00113,                0.00013,                  3e-05,                 3.1748,                 4.6914,                 3.3366,             0.00040462,             0.00040462,             0.00040462
                      6,                  3.068,                 5.4714,                 3.2328,                0.10014,                0.00012,                  3e-05,                      0,                 3.1431,                 4.6415,                 3.2744,             0.00040049,             0.00040049,             0.00040049
                      7,                 3.0106,                 5.4041,                 3.1485,                  6e-05,                0.00052,                  3e-05,                      0,                 3.1189,                 4.7405,                 3.2229,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.9989,                 5.3784,                 3.0814,                0.10004,                  4e-05,                  1e-05,                      0,                  3.144,                 4.7847,                 3.2224,             0.00039223,             0.00039223,             0.00039223
                      9,                 2.9753,                 5.3681,                 3.0353,                0.00042,                0.00677,                0.00024,                  4e-05,                 3.1278,                 4.6368,                 3.1777,              0.0003881,              0.0003881,              0.0003881
                     10,                 2.9954,                 5.3085,                 2.9898,                0.00027,                0.01151,                0.00028,                  5e-05,                 3.1789,                 9.7991,                   3.21,             0.00038397,             0.00038397,             0.00038397
                     11,                 2.9607,                 5.2975,                 2.9695,                0.00173,                0.02766,                0.00112,                0.00025,                  3.203,                 5.5159,                 3.1579,             0.00037985,             0.00037985,             0.00037985
                     12,                 2.9711,                 5.2914,                 2.9416,                0.00018,                0.00367,                 0.0001,                  2e-05,                 3.1008,                 4.6337,                 3.0926,             0.00037572,             0.00037572,             0.00037572
                     13,                 2.9349,                 5.2755,                 2.9153,                0.00079,                0.02387,                 0.0007,                0.00015,                  3.201,                 43.578,                 3.1979,             0.00037159,             0.00037159,             0.00037159
                     14,                  2.936,                 5.3119,                 2.8913,                0.00188,                0.04201,                0.00142,                0.00032,                 3.1475,                 4.7449,                 3.1197,             0.00036746,             0.00036746,             0.00036746
                     15,                 2.9261,                 5.2551,                 2.8835,                0.00052,                0.04085,                0.00117,                0.00024,                 3.1705,                 5.9478,                  3.106,             0.00036333,             0.00036333,             0.00036333
                     16,                 2.9054,                 5.3009,                 2.8603,                0.20027,                0.00099,                0.00019,                  3e-05,                 3.1831,                 5.4722,                 3.1592,              0.0003592,              0.0003592,              0.0003592
                     17,                  2.905,                 5.2501,                   2.85,                0.00014,                0.00126,                  7e-05,                  3e-05,                 3.2209,                 9.0177,                 3.1413,             0.00035508,             0.00035508,             0.00035508
                     18,                 2.9174,                 5.2225,                 2.8298,                0.00089,                0.02216,                0.00081,                 0.0002,                  3.169,                 5.0469,                 3.0963,             0.00035095,             0.00035095,             0.00035095
                     19,                 2.9244,                 5.2282,                 2.8249,                0.00139,                  0.056,                0.00342,                0.00102,                 3.1548,                 4.7049,                 3.0755,             0.00034682,             0.00034682,             0.00034682
                     20,                 2.9219,                 5.2294,                 2.7984,                0.00037,                0.01912,                0.00042,                0.00015,                 3.1799,                 4.9311,                 3.0686,             0.00034269,             0.00034269,             0.00034269
                     21,                 2.9779,                  5.205,                 2.7942,                0.00058,                0.00913,                0.00034,                  8e-05,                  3.174,                 5.1652,                 3.0543,             0.00033856,             0.00033856,             0.00033856
                     22,                 2.9567,                 5.1782,                  2.762,                0.00064,                0.01333,                0.00051,                0.00014,                 3.1727,                  4.664,                 3.0514,             0.00033443,             0.00033443,             0.00033443
                     23,                 2.9222,                 5.1906,                 2.7622,                0.00029,                0.00223,                0.00015,                  6e-05,                 3.2023,                  5.959,                 3.0837,             0.00033031,             0.00033031,             0.00033031
                     24,                 2.9212,                 5.2125,                 2.7485,                0.00086,                 0.0168,                0.00065,                0.00012,                 3.1628,                 4.7492,                 3.0641,             0.00032618,             0.00032618,             0.00032618
                     25,                 2.9067,                 5.1568,                 2.7479,                0.00084,                0.02436,                0.00056,                0.00016,                 3.1925,                 4.9691,                 3.0756,             0.00032205,             0.00032205,             0.00032205
                     26,                 2.9237,                 5.1828,                  2.754,                0.00075,                0.01527,                0.00051,                0.00013,                 3.1844,                 5.0103,                 3.0598,             0.00031792,             0.00031792,             0.00031792
                     27,                 2.8758,                 5.1863,                 2.7377,                0.00036,                0.02471,                0.00078,                0.00022,                 3.1624,                 4.6832,                 3.0267,             0.00031379,             0.00031379,             0.00031379
                     28,                 2.8751,                 5.1751,                 2.7298,                0.00048,                0.02801,                0.00079,                0.00023,                 3.2035,                 5.8634,                 3.0504,             0.00030966,             0.00030966,             0.00030966
                     29,                 2.8961,                 5.1655,                 2.7146,                0.00065,                0.02442,                0.00082,                0.00021,                 3.1693,                 4.6474,                 3.0256,             0.00030554,             0.00030554,             0.00030554
                     30,                 2.8908,                 5.1503,                 2.7067,                0.20106,                0.00153,                0.00089,                0.00025,                 3.1785,                 5.8701,                 3.0484,             0.00030141,             0.00030141,             0.00030141
                     31,                 2.8968,                 5.1868,                 2.7066,                0.10063,                0.00226,                0.00131,                0.00046,                 3.1765,                 5.3386,                 3.0471,             0.00029728,             0.00029728,             0.00029728
                     32,                 2.9489,                 5.1138,                   2.71,                0.00062,                0.03309,                0.00062,                0.00018,                 3.1874,                 4.6944,                 3.0222,             0.00029315,             0.00029315,             0.00029315
                     33,                 2.8788,                  5.161,                 2.6992,                0.00066,                0.02503,                0.00053,                0.00017,                 3.1754,                 4.6598,                  3.001,             0.00028902,             0.00028902,             0.00028902
