                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5155,                 4.7054,                 3.4715,                0.41845,                0.03458,                0.01213,                0.00394,                 3.1579,                 4.4914,                 3.2471,               0.070048,               0.003328,               0.003328
                      2,                 2.9043,                 3.9881,                 2.8466,                0.42109,                0.13289,                0.05927,                0.02193,                  2.607,                 3.5251,                 2.5762,               0.039982,              0.0065954,              0.0065954
                      3,                 2.5171,                 3.4857,                 2.4324,                0.46296,                0.18927,                 0.1356,                0.06022,                 2.3215,                 2.8815,                   2.27,              0.0098501,              0.0097968,              0.0097968
                      4,                 2.2677,                 3.0523,                 2.1611,                0.28846,                0.24637,                0.17717,                0.08508,                 2.1898,                 2.6945,                 2.1139,               0.009703,               0.009703,               0.009703
                      5,                 2.1063,                 2.7163,                 1.9953,                 0.5914,                0.23728,                0.24208,                0.12542,                 1.9897,                 2.4769,                 1.9169,               0.009604,               0.009604,               0.009604
                      6,                 1.9904,                 2.5105,                 1.8961,                0.59335,                 0.2619,                0.28103,                0.14954,                 1.8482,                 2.0308,                 1.7913,               0.009505,               0.009505,               0.009505
                      7,                 1.9048,                 2.3259,                 1.8214,                0.42847,                0.35074,                0.31332,                 0.1699,                 1.8239,                 2.2038,                  1.766,               0.009406,               0.009406,               0.009406
                      8,                 1.8538,                 2.2228,                 1.7734,                0.37514,                0.36379,                0.35133,                0.19063,                 1.7271,                 1.9185,                 1.6753,               0.009307,               0.009307,               0.009307
                      9,                 1.7909,                 2.0958,                 1.7158,                0.42713,                0.40063,                0.39048,                0.21733,                 1.6625,                 1.7216,                 1.6587,               0.009208,               0.009208,               0.009208
                     10,                 1.7639,                 2.0284,                 1.6963,                0.52791,                0.36047,                0.36892,                0.20721,                  1.637,                 2.0467,                  1.617,               0.009109,               0.009109,               0.009109
                     11,                 1.7271,                 1.9316,                 1.6447,                0.48127,                0.45484,                0.44894,                0.24978,                 1.6016,                 1.6602,                 1.5724,                0.00901,                0.00901,                0.00901
                     12,                 1.6744,                 1.8621,                 1.6098,                0.46858,                0.44337,                0.42047,                0.23974,                 1.6267,                 1.6684,                 1.5719,               0.008911,               0.008911,               0.008911
                     13,                 1.6423,                  1.786,                 1.5861,                 0.4668,                0.45843,                0.43763,                0.25221,                 1.5485,                 1.5697,                 1.5255,               0.008812,               0.008812,               0.008812
                     14,                 1.6233,                 1.7631,                 1.5804,                0.58513,                0.46777,                0.46465,                0.27866,                 1.4976,                 1.4654,                 1.4967,               0.008713,               0.008713,               0.008713
                     15,                 1.5964,                 1.7171,                 1.5427,                 0.5045,                0.48215,                0.47808,                0.27789,                  1.514,                 1.4533,                 1.5012,               0.008614,               0.008614,               0.008614
                     16,                 1.5837,                 1.6789,                 1.5293,                0.60077,                0.46834,                0.49878,                0.29464,                 1.4379,                  1.387,                 1.4564,               0.008515,               0.008515,               0.008515
                     17,                 1.5532,                 1.6363,                  1.515,                0.58927,                0.51241,                0.51306,                  0.308,                 1.4415,                 1.4643,                 1.4509,               0.008416,               0.008416,               0.008416
                     18,                 1.5282,                 1.5846,                 1.4924,                0.51685,                0.53613,                0.53036,                0.32191,                 1.4288,                 1.3562,                 1.4417,               0.008317,               0.008317,               0.008317
                     19,                 1.5132,                 1.5571,                 1.4724,                0.60025,                 0.5189,                0.53399,                0.32095,                 1.4147,                   1.35,                 1.4206,               0.008218,               0.008218,               0.008218
                     20,                 1.4928,                  1.526,                 1.4595,                0.58906,                0.55388,                0.56368,                0.34005,                 1.3739,                 1.2666,                 1.3868,               0.008119,               0.008119,               0.008119
                     21,                 1.4906,                 1.5198,                 1.4553,                0.67472,                0.52721,                0.55252,                0.33271,                 1.3847,                 1.3693,                 1.4143,                0.00802,                0.00802,                0.00802
                     22,                 1.4778,                 1.4944,                 1.4489,                0.63145,                0.55043,                 0.5617,                 0.3485,                 1.3364,                 1.2672,                 1.3653,               0.007921,               0.007921,               0.007921
                     23,                 1.4641,                  1.468,                 1.4308,                0.59959,                0.55861,                0.57076,                0.34977,                 1.3563,                 1.2653,                 1.3616,               0.007822,               0.007822,               0.007822
                     24,                 1.4499,                 1.4371,                 1.4204,                0.61934,                0.53079,                0.55575,                0.34106,                 1.3488,                   1.27,                 1.3646,               0.007723,               0.007723,               0.007723
                     25,                 1.4224,                 1.4112,                 1.4022,                0.61954,                0.54325,                0.56895,                0.35649,                  1.331,                 1.2046,                 1.3413,               0.007624,               0.007624,               0.007624
                     26,                 1.4259,                 1.4099,                 1.4087,                0.64247,                0.57186,                0.60392,                0.38096,                 1.3096,                 1.1914,                 1.3324,               0.007525,               0.007525,               0.007525
                     27,                 1.4081,                 1.3697,                 1.3962,                0.72318,                0.56837,                 0.6267,                 0.3922,                 1.2925,                 1.1676,                 1.3214,               0.007426,               0.007426,               0.007426
                     28,                 1.4007,                 1.3555,                 1.3874,                0.68035,                0.55702,                0.62638,                0.39302,                 1.3119,                 1.1438,                 1.3333,               0.007327,               0.007327,               0.007327
                     29,                 1.3852,                 1.3364,                 1.3726,                0.64123,                0.58492,                0.62817,                 0.4001,                 1.2621,                 1.1033,                 1.3009,               0.007228,               0.007228,               0.007228
                     30,                 1.3843,                 1.3452,                 1.3708,                  0.657,                0.60299,                0.63106,                0.40455,                 1.2719,                 1.1026,                 1.2959,               0.007129,               0.007129,               0.007129
                     31,                 1.3636,                 1.3077,                  1.369,                0.66565,                 0.6064,                0.63729,                0.41128,                 1.2616,                 1.0978,                 1.2921,                0.00703,                0.00703,                0.00703
                     32,                 1.3475,                 1.2977,                 1.3559,                0.68604,                0.58818,                0.63097,                0.40455,                 1.2577,                 1.1016,                 1.2964,               0.006931,               0.006931,               0.006931
                     33,                 1.3444,                 1.2926,                 1.3498,                0.70322,                0.61556,                0.66665,                0.42776,                 1.2401,                 1.0684,                 1.2804,               0.006832,               0.006832,               0.006832
                     34,                 1.3361,                 1.2784,                 1.3473,                0.66423,                0.61695,                0.65026,                0.42239,                 1.2447,                 1.0538,                 1.2802,               0.006733,               0.006733,               0.006733
                     35,                 1.3278,                 1.2678,                 1.3447,                0.69129,                0.62025,                 0.6632,                0.42992,                 1.2175,                 1.0632,                 1.2658,               0.006634,               0.006634,               0.006634
                     36,                 1.3185,                   1.25,                 1.3333,                0.73944,                0.61634,                0.67847,                 0.4362,                 1.2285,                 1.0542,                 1.2616,               0.006535,               0.006535,               0.006535
                     37,                 1.3143,                 1.2171,                 1.3223,                0.76958,                0.61302,                0.68096,                0.44018,                 1.2214,                 1.0324,                 1.2543,               0.006436,               0.006436,               0.006436
                     38,                 1.2992,                 1.2163,                 1.3238,                0.69996,                0.64386,                0.68509,                0.44294,                 1.2047,                 1.0056,                 1.2457,               0.006337,               0.006337,               0.006337
                     39,                 1.3021,                 1.1977,                 1.3069,                0.72522,                0.61506,                0.66971,                0.43748,                   1.21,                 1.0201,                 1.2506,               0.006238,               0.006238,               0.006238
