                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5244,                 4.6969,                 3.4418,                0.57751,                0.03904,                0.01261,                0.00373,                 3.0668,                 4.3179,                 3.1448,               0.070048,               0.003328,               0.003328
                      2,                  2.938,                 4.0437,                 2.8776,                0.50427,                0.11657,                0.06502,                0.02254,                 2.6507,                 3.3077,                  2.734,               0.039982,              0.0065954,              0.0065954
                      3,                 2.5528,                 3.4911,                 2.4863,                0.47419,                0.19828,                0.13179,                0.06077,                 2.3475,                 2.7309,                 2.3127,              0.0098501,              0.0097968,              0.0097968
                      4,                 2.2662,                 3.0478,                 2.2003,                0.43029,                0.20628,                0.17106,                0.08331,                 2.2588,                 3.0009,                 2.1963,               0.009703,               0.009703,               0.009703
                      5,                 2.1121,                 2.7356,                 2.0377,                0.54302,                0.23571,                0.21674,                0.11563,                 2.0108,                  2.688,                  1.955,               0.009604,               0.009604,               0.009604
                      6,                 1.9918,                 2.5286,                 1.9346,                0.50572,                0.28662,                0.27503,                0.15027,                 1.8426,                 2.1671,                 1.8227,               0.009505,               0.009505,               0.009505
                      7,                 1.9075,                 2.3471,                 1.8611,                0.32869,                0.36019,                0.27745,                0.15109,                 1.8658,                 2.2297,                 1.8322,               0.009406,               0.009406,               0.009406
                      8,                 1.8555,                  2.228,                 1.8107,                0.55958,                0.34499,                0.35159,                0.18783,                 1.7536,                 1.8832,                 1.7282,               0.009307,               0.009307,               0.009307
                      9,                 1.7989,                  2.109,                 1.7479,                0.47223,                0.39263,                0.38561,                0.21412,                 1.6851,                 1.7963,                 1.6817,               0.009208,               0.009208,               0.009208
                     10,                 1.7645,                 2.0507,                 1.7308,                0.46673,                 0.4153,                0.39684,                0.22141,                 1.6161,                 1.8334,                 1.6334,               0.009109,               0.009109,               0.009109
                     11,                 1.7207,                 1.9401,                  1.677,                0.44926,                0.46474,                0.41773,                 0.2376,                 1.6252,                 1.7198,                  1.606,                0.00901,                0.00901,                0.00901
                     12,                  1.675,                 1.8744,                 1.6442,                0.46378,                0.45465,                0.42623,                0.24415,                 1.6167,                 1.5954,                 1.6021,               0.008911,               0.008911,               0.008911
                     13,                  1.641,                 1.8041,                 1.6143,                0.48158,                0.43683,                0.43782,                 0.2552,                 1.5361,                 1.5714,                 1.5377,               0.008812,               0.008812,               0.008812
                     14,                 1.6234,                 1.7832,                  1.605,                0.48788,                 0.4577,                0.45516,                 0.2703,                 1.5081,                 1.4994,                 1.5218,               0.008713,               0.008713,               0.008713
                     15,                 1.5903,                 1.7335,                 1.5662,                0.48476,                0.47409,                0.47208,                0.28067,                  1.501,                 1.4831,                 1.5289,               0.008614,               0.008614,               0.008614
                     16,                 1.5866,                 1.6975,                 1.5571,                0.65261,                0.45007,                0.49561,                0.30021,                 1.4405,                 1.4448,                 1.4664,               0.008515,               0.008515,               0.008515
                     17,                  1.557,                  1.667,                 1.5429,                0.59099,                0.51345,                0.49091,                0.29397,                 1.4356,                 1.5565,                 1.4634,               0.008416,               0.008416,               0.008416
                     18,                 1.5246,                 1.5924,                 1.5092,                0.68486,                0.47539,                0.51105,                0.30763,                 1.4328,                 1.4141,                 1.4617,               0.008317,               0.008317,               0.008317
                     19,                 1.5132,                 1.5802,                 1.4963,                0.55706,                0.51879,                0.52791,                0.31827,                 1.4091,                 1.3807,                 1.4366,               0.008218,               0.008218,               0.008218
                     20,                 1.4911,                 1.5364,                 1.4812,                0.62098,                0.51456,                0.53517,                  0.324,                 1.3725,                 1.3225,                 1.4066,               0.008119,               0.008119,               0.008119
                     21,                 1.4854,                 1.5253,                 1.4768,                0.61039,                0.50831,                0.52577,                0.32637,                 1.3729,                 1.3172,                 1.4098,                0.00802,                0.00802,                0.00802
                     22,                 1.4792,                 1.5066,                 1.4726,                0.58928,                0.54912,                0.55901,                0.34505,                 1.3593,                 1.2915,                  1.398,               0.007921,               0.007921,               0.007921
                     23,                 1.4627,                 1.4739,                 1.4518,                0.67467,                0.54757,                 0.5744,                0.35929,                 1.3527,                 1.2524,                 1.3898,               0.007822,               0.007822,               0.007822
                     24,                 1.4511,                 1.4549,                 1.4474,                0.64584,                0.55061,                0.57623,                0.35939,                 1.3311,                 1.2139,                  1.374,               0.007723,               0.007723,               0.007723
                     25,                 1.4193,                 1.4285,                 1.4205,                0.63707,                0.52833,                0.57782,                0.35749,                 1.3498,                 1.1928,                 1.3728,               0.007624,               0.007624,               0.007624
                     26,                  1.421,                 1.4224,                 1.4284,                0.68889,                 0.5511,                0.59546,                0.37463,                 1.3195,                 1.2123,                 1.3531,               0.007525,               0.007525,               0.007525
                     27,                  1.405,                 1.3826,                 1.4139,                0.66226,                0.57866,                0.59437,                0.37675,                 1.2865,                  1.184,                 1.3414,               0.007426,               0.007426,               0.007426
                     28,                 1.3947,                  1.375,                 1.4082,                0.65938,                0.58667,                0.61117,                0.38289,                 1.3017,                 1.1773,                 1.3481,               0.007327,               0.007327,               0.007327
                     29,                 1.3919,                 1.3514,                 1.3984,                0.61673,                0.57984,                 0.6007,                0.38142,                 1.2669,                 1.1576,                 1.3263,               0.007228,               0.007228,               0.007228
                     30,                 1.3779,                 1.3547,                 1.3898,                0.64629,                0.59136,                0.61987,                0.39128,                 1.2763,                 1.1101,                 1.3199,               0.007129,               0.007129,               0.007129
                     31,                 1.3702,                 1.3294,                 1.3913,                0.63373,                0.61767,                0.63317,                0.40768,                 1.2753,                 1.1192,                 1.3209,                0.00703,                0.00703,                0.00703
                     32,                 1.3468,                 1.3051,                 1.3789,                0.67151,                0.58377,                0.61758,                0.40134,                 1.2568,                 1.1101,                 1.3092,               0.006931,               0.006931,               0.006931
                     33,                 1.3494,                 1.3046,                 1.3703,                0.65678,                0.60332,                0.62929,                 0.4052,                 1.2497,                 1.1081,                 1.2975,               0.006832,               0.006832,               0.006832
                     34,                 1.3373,                 1.2801,                 1.3662,                0.66718,                0.62089,                0.64262,                0.41418,                 1.2342,                 1.0778,                 1.2959,               0.006733,               0.006733,               0.006733
                     35,                 1.3312,                  1.278,                 1.3694,                0.68503,                0.64096,                0.65455,                0.42023,                 1.2235,                 1.0632,                 1.2846,               0.006634,               0.006634,               0.006634
                     36,                 1.3196,                 1.2651,                 1.3558,                0.70424,                0.60543,                0.64664,                0.41853,                 1.2345,                 1.0912,                 1.2818,               0.006535,               0.006535,               0.006535
                     37,                 1.3156,                   1.23,                 1.3442,                0.75426,                0.58032,                  0.661,                0.43419,                 1.2245,                 1.0399,                 1.2765,               0.006436,               0.006436,               0.006436
                     38,                 1.2964,                 1.2317,                 1.3466,                0.67766,                0.63355,                0.65851,                0.42593,                  1.216,                 1.0429,                 1.2728,               0.006337,               0.006337,               0.006337
                     39,                 1.2979,                 1.2153,                 1.3231,                0.71643,                 0.6345,                0.67444,                 0.4417,                 1.1924,                 1.0214,                 1.2594,               0.006238,               0.006238,               0.006238
                     40,                 1.2852,                 1.1881,                 1.3237,                0.70078,                0.64832,                0.67628,                0.44341,                 1.2006,                  1.017,                 1.2627,               0.006139,               0.006139,               0.006139
                     41,                 1.2852,                 1.1898,                 1.3257,                0.76056,                0.64152,                0.69628,                0.45798,                 1.1789,                 1.0085,                 1.2554,                0.00604,                0.00604,                0.00604
                     42,                 1.2673,                 1.1765,                 1.3149,                0.70595,                0.64539,                0.67939,                0.44907,                 1.1937,                 0.9932,                 1.2544,               0.005941,               0.005941,               0.005941
                     43,                  1.278,                 1.1791,                 1.3074,                0.70078,                0.65382,                0.68894,                 0.4617,                 1.1755,                0.99922,                 1.2434,               0.005842,               0.005842,               0.005842
                     44,                 1.2667,                 1.1701,                  1.312,                0.74896,                0.64582,                0.69879,                0.46136,                 1.1856,                0.98362,                 1.2505,               0.005743,               0.005743,               0.005743
                     45,                 1.2584,                 1.1493,                 1.3023,                 0.7259,                0.64268,                0.69716,                0.46524,                 1.1756,                0.98393,                 1.2439,               0.005644,               0.005644,               0.005644
                     46,                  1.252,                 1.1409,                 1.2982,                 0.7266,                0.66958,                0.70528,                0.47015,                 1.1763,                0.95863,                 1.2438,               0.005545,               0.005545,               0.005545
                     47,                 1.2507,                 1.1483,                 1.3003,                0.73331,                0.65349,                 0.7088,                 0.4756,                  1.165,                0.94764,                 1.2346,               0.005446,               0.005446,               0.005446
                     48,                 1.2475,                 1.1232,                 1.2825,                0.74556,                0.67149,                0.71577,                0.47866,                 1.1501,                0.94526,                 1.2235,               0.005347,               0.005347,               0.005347
                     49,                 1.2377,                 1.1206,                 1.2877,                0.75116,                0.67461,                  0.728,                0.48652,                 1.1497,                0.92929,                 1.2263,               0.005248,               0.005248,               0.005248
                     50,                 1.2546,                 1.1195,                 1.2858,                0.76592,                0.66875,                 0.7234,                0.48179,                 1.1543,                0.93361,                 1.2294,               0.005149,               0.005149,               0.005149
                     51,                 1.2368,                 1.1172,                 1.2834,                0.75984,                0.66782,                0.72543,                0.48582,                 1.1484,                 0.9256,                 1.2239,                0.00505,                0.00505,                0.00505
                     52,                 1.2341,                 1.0978,                 1.2759,                0.79988,                0.68533,                0.74389,                0.49528,                 1.1455,                0.91499,                 1.2149,               0.004951,               0.004951,               0.004951
                     53,                 1.2171,                 1.0813,                 1.2709,                0.78502,                0.66866,                0.73612,                0.48933,                  1.137,                0.90366,                 1.2144,               0.004852,               0.004852,               0.004852
                     54,                   1.21,                 1.0893,                 1.2685,                0.81214,                0.67657,                0.74521,                0.49893,                 1.1471,                0.90052,                 1.2197,               0.004753,               0.004753,               0.004753
                     55,                  1.218,                 1.0848,                 1.2689,                  0.839,                0.65722,                0.74919,                0.50082,                  1.139,                0.89268,                 1.2108,               0.004654,               0.004654,               0.004654
                     56,                 1.2078,                 1.0719,                 1.2628,                0.79295,                0.69681,                0.75305,                 0.5095,                 1.1162,                0.88459,                 1.1993,               0.004555,               0.004555,               0.004555
                     57,                 1.1962,                 1.0479,                 1.2476,                0.80093,                0.69066,                0.74835,                 0.5094,                 1.1252,                0.88478,                 1.2002,               0.004456,               0.004456,               0.004456
                     58,                 1.2032,                 1.0617,                 1.2606,                0.79788,                0.67652,                0.74618,                0.50879,                 1.1227,                0.88649,                 1.1957,               0.004357,               0.004357,               0.004357
                     59,                  1.196,                 1.0382,                 1.2454,                0.79991,                0.68942,                0.75677,                0.51336,                 1.1148,                0.87358,                 1.1938,               0.004258,               0.004258,               0.004258
                     60,                 1.1852,                 1.0434,                 1.2495,                0.82266,                0.67578,                0.75507,                 0.5163,                 1.1072,                0.87266,                 1.1899,               0.004159,               0.004159,               0.004159
                     61,                 1.1927,                 1.0363,                 1.2478,                0.77159,                0.70277,                0.74575,                0.51695,                  1.108,                0.87413,                 1.1882,                0.00406,                0.00406,                0.00406
                     62,                 1.1793,                  1.037,                 1.2459,                0.80997,                 0.7006,                0.76472,                0.52763,                 1.0973,                0.84518,                 1.1798,               0.003961,               0.003961,               0.003961
                     63,                 1.1855,                 1.0152,                 1.2345,                0.80944,                0.69518,                0.76153,                0.52296,                 1.1145,                0.86488,                 1.1839,               0.003862,               0.003862,               0.003862
                     64,                 1.1723,                 1.0165,                 1.2312,                0.79784,                0.69098,                0.76485,                0.53187,                 1.0951,                0.85326,                 1.1772,               0.003763,               0.003763,               0.003763
                     65,                 1.1621,                0.99334,                  1.225,                0.77704,                0.71421,                0.75889,                0.52612,                 1.1009,                0.84939,                 1.1772,               0.003664,               0.003664,               0.003664
                     66,                 1.1453,                0.98092,                 1.2215,                0.81442,                0.69097,                0.76318,                0.52784,                 1.1009,                0.84548,                 1.1762,               0.003565,               0.003565,               0.003565
                     67,                  1.159,                 1.0112,                 1.2363,                0.81315,                0.71215,                0.77107,                0.53315,                 1.0893,                0.83535,                 1.1727,               0.003466,               0.003466,               0.003466
                     68,                 1.1419,                0.97573,                 1.2118,                0.81044,                0.71114,                0.76975,                0.53763,                 1.0879,                 0.8303,                 1.1691,               0.003367,               0.003367,               0.003367
                     69,                  1.137,                0.97117,                 1.2119,                0.80307,                0.71946,                0.77148,                0.53318,                 1.0827,                0.82108,                 1.1655,               0.003268,               0.003268,               0.003268
                     70,                 1.1542,                0.97101,                 1.2148,                0.79685,                0.73189,                0.77864,                0.53607,                 1.0895,                0.82361,                 1.1722,               0.003169,               0.003169,               0.003169
                     71,                 1.1439,                 0.9584,                 1.2093,                0.84077,                0.70991,                0.77909,                0.53628,                 1.0907,                0.82719,                 1.1679,                0.00307,                0.00307,                0.00307
                     72,                 1.1415,                0.95594,                 1.2149,                0.82063,                0.71075,                0.77935,                0.53761,                 1.0804,                0.82192,                 1.1643,               0.002971,               0.002971,               0.002971
                     73,                 1.1353,                0.95719,                 1.2076,                0.80256,                0.73163,                0.77918,                0.54139,                 1.0802,                0.81443,                  1.163,               0.002872,               0.002872,               0.002872
                     74,                 1.1256,                0.95014,                 1.2046,                0.83648,                0.72729,                0.78689,                 0.5464,                 1.0722,                0.81344,                 1.1607,               0.002773,               0.002773,               0.002773
                     75,                 1.1239,                0.94672,                  1.198,                0.84408,                0.73387,                0.79418,                0.54556,                 1.0761,                0.80917,                 1.1572,               0.002674,               0.002674,               0.002674
                     76,                 1.1156,                0.94061,                 1.1947,                0.83875,                0.72013,                0.79099,                0.55085,                 1.0688,                0.80859,                 1.1558,               0.002575,               0.002575,               0.002575
                     77,                 1.1119,                0.93299,                 1.1985,                0.83972,                0.72527,                0.79277,                0.55017,                 1.0665,                0.80479,                 1.1565,               0.002476,               0.002476,               0.002476
                     78,                 1.1024,                0.94204,                 1.2023,                0.83686,                0.72904,                0.79464,                 0.5526,                 1.0603,                0.80197,                 1.1502,               0.002377,               0.002377,               0.002377
                     79,                 1.1015,                0.91529,                 1.1848,                0.80487,                0.73883,                0.79034,                0.55512,                 1.0587,                0.79778,                 1.1482,               0.002278,               0.002278,               0.002278
                     80,                 1.0951,                0.90316,                 1.1802,                0.84797,                0.73131,                0.79633,                0.55557,                 1.0641,                0.79169,                 1.1532,               0.002179,               0.002179,               0.002179
                     81,                 1.0911,                0.91011,                 1.1841,                0.82094,                0.74579,                0.79889,                 0.5617,                 1.0601,                0.78382,                 1.1514,                0.00208,                0.00208,                0.00208
