                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5843,                  6.173,                 4.2213,                0.00147,                0.05325,                0.00154,                0.00032,                 3.3133,                 4.6788,                 4.0495,             0.00013863,             0.00013863,             0.00013863
                      2,                 3.3853,                 5.7113,                 3.8164,                0.00358,                0.16832,                0.00439,                0.00149,                 3.1738,                 4.2226,                  3.594,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1053,                 5.2301,                 3.4114,                0.28789,                0.03076,                0.02181,                0.00754,                 2.8462,                 3.7035,                 3.1628,             0.00040838,             0.00040838,             0.00040838
                      4,                 2.8925,                 4.6835,                 3.1009,                0.35536,                0.06914,                0.04079,                0.01619,                 2.7104,                 3.4028,                  2.872,             0.00040462,             0.00040462,             0.00040462
                      5,                 2.7003,                 4.3325,                 2.8713,                0.53836,                0.09493,                0.06769,                0.02731,                 2.4854,                 3.3747,                 2.7044,             0.00040462,             0.00040462,             0.00040462
                      6,                 2.5521,                 4.1292,                   2.72,                0.52229,                0.12449,                0.09781,                0.04928,                 2.3628,                 3.0603,                 2.5494,             0.00040049,             0.00040049,             0.00040049
                      7,                 2.4256,                 3.9113,                 2.5874,                0.69326,                 0.1287,                0.14207,                 0.0695,                 2.2785,                 2.9019,                  2.451,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.3069,                 3.6997,                 2.4535,                0.54587,                0.14611,                0.15224,                0.07505,                 2.1565,                 2.8577,                 2.3229,             0.00039223,             0.00039223,             0.00039223
                      9,                 2.1933,                 3.5265,                 2.3408,                0.61844,                0.15482,                0.16854,                0.08519,                 2.0627,                 2.8436,                 2.2332,              0.0003881,              0.0003881,              0.0003881
                     10,                 2.1557,                 3.4163,                  2.268,                0.66736,                0.18965,                0.18364,                0.09669,                 2.0615,                 2.5999,                 2.1841,             0.00038397,             0.00038397,             0.00038397
                     11,                 2.0845,                 3.3159,                 2.2221,                 0.7577,                0.18745,                   0.21,                0.11712,                      2,                 2.4555,                 2.1296,             0.00037985,             0.00037985,             0.00037985
                     12,                 2.0305,                 3.2023,                 2.1648,                0.53218,                0.22207,                0.21284,                0.12237,                  1.899,                 2.4438,                 2.0457,             0.00037572,             0.00037572,             0.00037572
                     13,                 1.9654,                 3.0154,                 2.0908,                0.69187,                0.23712,                0.25011,                0.14001,                 1.8975,                   2.31,                 2.0259,             0.00037159,             0.00037159,             0.00037159
                     14,                 1.9447,                 3.0486,                 2.0796,                0.63316,                 0.2124,                 0.2462,                0.13688,                 1.8466,                 2.2475,                 1.9854,             0.00036746,             0.00036746,             0.00036746
                     15,                 1.9526,                 2.9929,                 2.0583,                0.59823,                0.22349,                0.26644,                0.14684,                 1.8921,                 2.1056,                 1.9896,             0.00036333,             0.00036333,             0.00036333
                     16,                 1.8914,                  2.992,                 2.0363,                0.66428,                0.24354,                0.27199,                0.15327,                 1.8185,                 2.1236,                 1.9573,              0.0003592,              0.0003592,              0.0003592
                     17,                 1.8827,                 2.9173,                 2.0217,                0.58913,                0.26533,                0.28569,                0.16143,                 1.8008,                 2.1392,                 1.8967,             0.00035508,             0.00035508,             0.00035508
                     18,                 1.8515,                 2.7565,                  1.954,                0.59431,                 0.2842,                0.30581,                0.16763,                 1.7975,                 2.1669,                 1.9238,             0.00035095,             0.00035095,             0.00035095
                     19,                 1.8435,                 2.7772,                 1.9543,                 0.6639,                0.28831,                0.31183,                0.17715,                 1.7605,                 2.0568,                 1.8776,             0.00034682,             0.00034682,             0.00034682
                     20,                 1.8232,                 2.6514,                 1.9052,                 0.5545,                 0.2926,                0.29748,                0.16834,                 1.7854,                 2.1229,                 1.8556,             0.00034269,             0.00034269,             0.00034269
                     21,                 1.8347,                 2.6288,                 1.8893,                0.64716,                0.29306,                0.30979,                0.18625,                 1.7375,                 2.0003,                 1.8392,             0.00033856,             0.00033856,             0.00033856
                     22,                 1.8039,                 2.6278,                 1.8687,                0.56095,                0.32571,                0.34519,                0.20393,                 1.7167,                 2.0416,                 1.8205,             0.00033443,             0.00033443,             0.00033443
                     23,                  1.751,                 2.5457,                 1.8525,                0.52321,                0.34546,                0.33038,                0.19805,                 1.6858,                  1.935,                  1.805,             0.00033031,             0.00033031,             0.00033031
                     24,                 1.7659,                 2.6027,                 1.8636,                0.50079,                0.34811,                0.35341,                0.20409,                 1.6968,                 1.9081,                 1.8088,             0.00032618,             0.00032618,             0.00032618
                     25,                 1.7557,                 2.4852,                  1.846,                0.51057,                0.35611,                 0.3755,                0.21567,                 1.6722,                 1.8512,                 1.7918,             0.00032205,             0.00032205,             0.00032205
                     26,                  1.714,                 2.4497,                 1.8143,                0.48398,                0.40312,                0.38533,                0.22287,                 1.6512,                 1.9803,                 1.7779,             0.00031792,             0.00031792,             0.00031792
                     27,                 1.7125,                 2.4883,                 1.8252,                  0.473,                0.39348,                 0.3881,                0.23061,                 1.6845,                 1.8078,                 1.7844,             0.00031379,             0.00031379,             0.00031379
                     28,                 1.6938,                 2.4316,                 1.7886,                0.60244,                0.39581,                 0.3955,                0.22896,                 1.6427,                 1.8495,                 1.7491,             0.00030966,             0.00030966,             0.00030966
                     29,                  1.694,                 2.4046,                 1.7812,                0.58207,                 0.3734,                0.40733,                0.23565,                 1.6625,                 1.7821,                 1.7567,             0.00030554,             0.00030554,             0.00030554
                     30,                 1.6774,                 2.3515,                 1.7729,                0.49792,                0.38514,                0.39458,                0.23417,                 1.6289,                 1.8114,                 1.7283,             0.00030141,             0.00030141,             0.00030141
                     31,                 1.6771,                 2.3782,                 1.7638,                0.50804,                0.42088,                0.42266,                0.24823,                 1.6161,                 1.7531,                 1.7055,             0.00029728,             0.00029728,             0.00029728
                     32,                 1.6514,                  2.225,                 1.7236,                 0.4843,                0.42695,                0.41439,                 0.2378,                 1.6469,                 1.7687,                 1.7349,             0.00029315,             0.00029315,             0.00029315
                     33,                 1.6287,                 2.2768,                 1.7352,                0.53998,                0.42484,                0.44192,                 0.2622,                 1.5783,                 1.7283,                 1.6904,             0.00028902,             0.00028902,             0.00028902
                     34,                 1.6374,                 2.2533,                 1.7244,                0.51108,                0.42705,                0.42685,                0.25826,                 1.5941,                 1.8379,                 1.6899,             0.00028489,             0.00028489,             0.00028489
                     35,                 1.6227,                 2.2679,                 1.7357,                0.49235,                 0.4327,                0.42714,                0.24976,                 1.5945,                 1.8147,                 1.6857,             0.00028077,             0.00028077,             0.00028077
                     36,                 1.6149,                 2.1655,                 1.6869,                0.59928,                0.40179,                0.43049,                0.26662,                 1.5625,                 1.7005,                 1.6705,             0.00027664,             0.00027664,             0.00027664
                     37,                 1.5865,                 2.1926,                 1.6948,                0.50253,                0.45035,                0.45538,                0.27397,                 1.5436,                 1.7202,                 1.6576,             0.00027251,             0.00027251,             0.00027251
                     38,                 1.6075,                 2.1991,                 1.6916,                0.53461,                0.45137,                 0.4631,                0.27481,                 1.5456,                 1.6707,                 1.6586,             0.00026838,             0.00026838,             0.00026838
                     39,                 1.5927,                 2.1799,                 1.6717,                0.56306,                0.42208,                0.44397,                0.27121,                 1.5433,                 1.7015,                 1.6616,             0.00026425,             0.00026425,             0.00026425
                     40,                 1.5936,                 2.1628,                 1.6715,                0.55773,                0.47373,                0.47012,                0.28653,                 1.5445,                 1.6572,                 1.6314,             0.00026012,             0.00026012,             0.00026012
                     41,                 1.5587,                  2.099,                  1.671,                0.55164,                  0.445,                0.47427,                0.29055,                 1.5285,                 1.5784,                 1.6371,               0.000256,               0.000256,               0.000256
                     42,                 1.5535,                 2.0828,                  1.669,                0.58483,                0.44554,                0.48239,                0.29781,                 1.5359,                 1.6158,                 1.6352,             0.00025187,             0.00025187,             0.00025187
                     43,                 1.5711,                 2.1047,                 1.6591,                0.67422,                0.44218,                0.48824,                0.29267,                  1.519,                 1.5936,                 1.6332,             0.00024774,             0.00024774,             0.00024774
                     44,                 1.5674,                 2.0942,                 1.6442,                0.57724,                0.45215,                0.47591,                0.29283,                 1.5096,                 1.6351,                 1.6189,             0.00024361,             0.00024361,             0.00024361
                     45,                 1.5384,                 2.0537,                 1.6422,                 0.5802,                0.47015,                0.49703,                0.30372,                 1.4926,                 1.6114,                 1.5914,             0.00023948,             0.00023948,             0.00023948
                     46,                 1.5417,                 2.0669,                 1.6354,                0.55681,                0.45223,                0.49008,                0.29616,                 1.5032,                 1.5447,                 1.6066,             0.00023535,             0.00023535,             0.00023535
                     47,                 1.5505,                 2.0091,                 1.6412,                0.64312,                0.47632,                0.51427,                0.31108,                 1.4864,                 1.5851,                 1.6042,             0.00023123,             0.00023123,             0.00023123
                     48,                 1.5121,                 1.9884,                 1.6192,                0.67542,                0.47669,                0.52049,                0.30981,                 1.4759,                 1.5309,                 1.5871,              0.0002271,              0.0002271,              0.0002271
                     49,                 1.5086,                 1.9979,                 1.6086,                0.63228,                0.46804,                0.50042,                0.30204,                 1.4882,                 1.5564,                 1.6001,             0.00022297,             0.00022297,             0.00022297
