                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6296,                  6.229,                 4.2054,                0.00072,                0.01812,                0.00051,                0.00013,                 3.3603,                 4.8963,                 4.1839,             0.00013863,             0.00013863,             0.00013863
                      2,                 3.4172,                 5.9685,                 3.9108,                 0.4021,                0.00401,                0.00092,                0.00021,                 3.2306,                 5.0122,                 3.7231,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1858,                 5.5914,                 3.5394,                0.00374,                0.09643,                0.00425,                0.00147,                 3.0229,                 4.0445,                 3.3191,             0.00040838,             0.00040838,             0.00040838
                      4,                 3.0658,                 5.1303,                 3.2736,                0.26964,                0.03561,                0.00892,                0.00282,                 2.9553,                 3.8653,                 3.0963,             0.00040462,             0.00040462,             0.00040462
                      5,                  2.962,                 4.8904,                 3.1144,                0.33602,                0.02361,                0.01046,                0.00326,                 2.8205,                 3.7969,                 3.0281,             0.00040462,             0.00040462,             0.00040462
                      6,                  2.872,                 4.7252,                 3.0166,                0.32948,                0.02682,                0.01369,                 0.0042,                 2.8058,                 3.7138,                 2.9694,             0.00040049,             0.00040049,             0.00040049
                      7,                 2.7927,                 4.6397,                  2.939,                0.00535,                0.23479,                0.02051,                0.00669,                 2.7133,                 3.7449,                 2.8447,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.7441,                 4.4904,                 2.8497,                0.00617,                0.25837,                0.02599,                0.00822,                 2.6522,                 3.7366,                 2.7844,             0.00039223,             0.00039223,             0.00039223
                      9,                  2.681,                 4.3974,                 2.7803,                0.17402,                0.13984,                0.03713,                0.01233,                 2.5986,                 3.6221,                 2.6825,              0.0003881,              0.0003881,              0.0003881
                     10,                 2.6593,                 4.2558,                 2.7173,                0.41195,                0.04879,                0.03191,                0.01066,                 2.5653,                 3.3589,                 2.6298,             0.00038397,             0.00038397,             0.00038397
                     11,                 2.6006,                 4.1917,                  2.683,                0.61367,                0.04224,                0.05267,                0.01909,                 2.5407,                 3.3198,                 2.5682,             0.00037985,             0.00037985,             0.00037985
                     12,                 2.5592,                 4.1547,                 2.6453,                0.57917,                0.03878,                0.03817,                0.01466,                 2.4949,                 3.4015,                 2.5543,             0.00037572,             0.00037572,             0.00037572
                     13,                 2.5044,                 4.0111,                 2.5797,                0.43897,                0.09444,                 0.0565,                0.02069,                 2.4613,                 3.2002,                 2.5195,             0.00037159,             0.00037159,             0.00037159
                     14,                 2.4888,                  4.007,                 2.5624,                0.44961,                 0.0927,                0.05771,                0.02183,                 2.4404,                 3.1844,                 2.4886,             0.00036746,             0.00036746,             0.00036746
