                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6192,                  6.181,                 4.2482,                0.00171,                0.03223,                0.00102,                0.00022,                 3.3197,                 4.7368,                 4.1266,             0.00013863,             0.00013863,             0.00013863
                      2,                  3.426,                 5.7502,                 3.8238,                0.00177,                0.06478,                0.00152,                0.00051,                 3.1412,                 4.4533,                 3.5244,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1419,                 5.2403,                 3.3814,                0.00436,                0.10782,                0.00794,                0.00261,                 2.9751,                 3.9677,                 3.1307,             0.00040838,             0.00040838,             0.00040838
                      4,                 2.9619,                 4.7729,                 3.0814,                 0.4106,                0.04835,                0.01747,                 0.0061,                 2.8178,                 3.8353,                 2.9366,             0.00040462,             0.00040462,             0.00040462
                      5,                 2.7825,                 4.4896,                 2.8961,                0.37422,                0.05331,                0.04392,                0.01507,                 2.6789,                 3.4891,                 2.7545,             0.00040462,             0.00040462,             0.00040462
                      6,                 2.6629,                 4.3072,                 2.7582,                0.31659,                0.09412,                0.05932,                0.02248,                  2.521,                  3.299,                 2.6075,             0.00040049,             0.00040049,             0.00040049
                      7,                 2.5452,                 4.1761,                 2.6505,                0.53074,                0.07993,                0.08321,                0.03693,                 2.4388,                 3.2995,                 2.5181,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.4586,                 3.9807,                 2.5532,                0.57833,                0.11052,                0.10599,                0.04968,                 2.3281,                 3.0473,                 2.4242,             0.00039223,             0.00039223,             0.00039223
                      9,                 2.3439,                 3.8282,                 2.4356,                0.56957,                0.08873,                0.11438,                0.05577,                 2.2031,                 3.0592,                 2.3123,              0.0003881,              0.0003881,              0.0003881
                     10,                 2.3114,                 3.6902,                 2.3539,                0.61573,                0.15332,                0.12493,                0.06175,                 2.1581,                 2.8148,                 2.2114,             0.00038397,             0.00038397,             0.00038397
                     11,                  2.213,                 3.5866,                 2.2876,                0.70989,                0.15761,                0.15637,                0.08127,                 2.1039,                 2.6565,                 2.1777,             0.00037985,             0.00037985,             0.00037985
                     12,                  2.147,                 3.4762,                 2.2352,                0.74504,                0.15469,                0.15395,                0.08339,                 1.9975,                 2.7159,                 2.0871,             0.00037572,             0.00037572,             0.00037572
                     13,                 2.0781,                 3.2988,                 2.1486,                0.73771,                0.19409,                0.18269,                0.10375,                 1.9978,                 2.5609,                 2.0606,             0.00037159,             0.00037159,             0.00037159
                     14,                 2.0557,                 3.3348,                  2.136,                0.70032,                0.17475,                0.19885,                0.11085,                 1.9056,                 2.4065,                 1.9695,             0.00036746,             0.00036746,             0.00036746
                     15,                 2.0454,                 3.2443,                 2.1143,                0.74279,                0.19293,                0.22452,                0.12662,                 1.9107,                 2.2742,                 1.9571,             0.00036333,             0.00036333,             0.00036333
                     16,                 1.9858,                 3.2477,                 2.0605,                0.70793,                0.21263,                0.23551,                0.13425,                 1.8992,                 2.2995,                 1.9613,              0.0003592,              0.0003592,              0.0003592
                     17,                 1.9808,                 3.1938,                 2.0667,                0.59427,                0.23781,                0.26069,                0.14579,                 1.8418,                 2.2671,                 1.9175,             0.00035508,             0.00035508,             0.00035508
                     18,                 1.9502,                 3.0107,                 1.9996,                0.66975,                 0.2452,                0.23507,                0.13528,                 1.8909,                 2.4204,                 1.9259,             0.00035095,             0.00035095,             0.00035095
                     19,                 1.9298,                  3.031,                 1.9926,                0.65503,                0.25582,                 0.2705,                0.15373,                  1.842,                 2.2787,                 1.8741,             0.00034682,             0.00034682,             0.00034682
                     20,                 1.9044,                 2.8858,                 1.9248,                0.54167,                0.26277,                  0.258,                0.14916,                 1.8333,                 2.2829,                 1.8551,             0.00034269,             0.00034269,             0.00034269
                     21,                 1.9211,                  2.867,                 1.9122,                0.67264,                0.27993,                0.28997,                0.17301,                 1.7793,                 2.1476,                 1.8312,             0.00033856,             0.00033856,             0.00033856
