                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.447,                 2.8703,                 1.2212,                0.55934,                0.41458,                0.42094,                0.26464,                 1.3188,                 1.5035,                 1.1447,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.3704,                 1.6801,                 1.1511,                0.58276,                0.48035,                0.49152,                0.30503,                  1.339,                 1.3002,                 1.1446,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.3983,                 1.5475,                 1.1585,                0.58731,                0.47791,                 0.4867,                0.29835,                 1.3637,                 1.2355,                 1.1586,              0.0097983,              0.0097983,              0.0097983
                      4,                  1.422,                 1.4534,                 1.1763,                0.64393,                0.52308,                0.54999,                0.33999,                 1.3278,                 1.1397,                 1.1399,               0.009703,               0.009703,               0.009703
                      5,                 1.3784,                 1.2737,                 1.1488,                0.72065,                0.57595,                0.61888,                0.39831,                 1.2553,                 0.9873,                 1.0983,               0.009604,               0.009604,               0.009604
                      6,                 1.3234,                 1.1571,                 1.1286,                0.73401,                0.58949,                0.63488,                0.41082,                 1.2033,                 0.9572,                  1.081,               0.009505,               0.009505,               0.009505
                      7,                 1.3104,                 1.0898,                 1.1109,                0.72631,                0.61623,                0.66071,                0.42854,                 1.2032,                0.91041,                 1.0693,               0.009406,               0.009406,               0.009406
                      8,                 1.2943,                 1.0519,                 1.1063,                0.73774,                0.61998,                 0.6678,                 0.4311,                 1.2316,                0.89047,                 1.0739,               0.009307,               0.009307,               0.009307
                      9,                 1.2665,                  1.005,                 1.0933,                0.75205,                0.64688,                0.69518,                0.46351,                 1.1606,                0.84804,                 1.0442,               0.009208,               0.009208,               0.009208
                     10,                 1.2563,                0.98784,                 1.0915,                0.80965,                0.64893,                0.71541,                0.47332,                 1.1665,                0.81368,                 1.0446,               0.009109,               0.009109,               0.009109
                     11,                  1.242,                0.95019,                 1.0771,                0.77087,                   0.66,                0.70483,                0.47171,                  1.144,                 0.8129,                 1.0314,                0.00901,                0.00901,                0.00901
                     12,                 1.2341,                 0.9304,                 1.0709,                0.80088,                0.68566,                0.73866,                0.49733,                 1.1477,                0.78654,                 1.0325,               0.008911,               0.008911,               0.008911
                     13,                  1.225,                0.91873,                 1.0677,                0.81703,                0.68033,                0.74319,                0.50314,                 1.1287,                0.76485,                 1.0234,               0.008812,               0.008812,               0.008812
                     14,                 1.2112,                0.90606,                 1.0662,                0.79592,                0.68961,                0.73695,                0.49593,                 1.1436,                0.77715,                 1.0276,               0.008713,               0.008713,               0.008713
                     15,                 1.2053,                0.89078,                   1.06,                0.81683,                0.69683,                0.75378,                0.51617,                 1.1248,                0.73888,                 1.0156,               0.008614,               0.008614,               0.008614
                     16,                 1.2047,                0.87103,                 1.0542,                0.82466,                0.69477,                0.75576,                0.51581,                 1.1332,                0.73853,                 1.0202,               0.008515,               0.008515,               0.008515
                     17,                 1.1896,                0.86685,                  1.054,                0.81045,                0.70084,                0.75731,                0.51781,                 1.1163,                0.72308,                 1.0106,               0.008416,               0.008416,               0.008416
                     18,                 1.1893,                0.85421,                  1.048,                0.82965,                0.70194,                0.76703,                0.52646,                 1.1109,                0.71315,                 1.0059,               0.008317,               0.008317,               0.008317
                     19,                 1.1922,                0.84991,                  1.048,                0.83806,                0.70696,                0.77219,                0.53104,                 1.0968,                0.70413,                 1.0026,               0.008218,               0.008218,               0.008218
                     20,                 1.1876,                0.83757,                 1.0423,                 0.8357,                0.71588,                0.77866,                0.53897,                 1.0903,                0.69577,                0.99847,               0.008119,               0.008119,               0.008119
                     21,                 1.1603,                0.82316,                 1.0396,                0.83501,                0.71265,                0.77392,                0.53708,                 1.0881,                 0.6906,                0.99433,                0.00802,                0.00802,                0.00802
