                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5866,                 6.1581,                 4.1884,                0.00206,                0.05733,                0.00216,                 0.0005,                 3.3185,                 4.6679,                 4.0246,             0.00013863,             0.00013863,             0.00013863
                      2,                 3.3817,                 5.7313,                 3.8142,                0.00377,                0.08818,                0.00422,                0.00133,                 3.1198,                 4.2046,                 3.5776,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1012,                 5.2245,                 3.4155,                0.29157,                0.02384,                0.01622,                0.00623,                 2.8377,                 3.7345,                 3.1831,             0.00040838,             0.00040838,             0.00040838
                      4,                 2.8851,                 4.7204,                 3.1192,                 0.4696,                0.10703,                0.05572,                0.02165,                 2.6787,                 3.4388,                  2.899,             0.00040462,             0.00040462,             0.00040462
                      5,                   2.68,                 4.3844,                 2.8748,                0.48684,                0.06722,                0.06337,                0.02807,                 2.5271,                 3.2557,                 2.7526,             0.00040462,             0.00040462,             0.00040462
                      6,                 2.5565,                 4.1504,                 2.7179,                0.58189,                0.12066,                0.09918,                0.04662,                 2.3699,                 2.9584,                 2.5388,             0.00040049,             0.00040049,             0.00040049
                      7,                 2.4446,                 3.9578,                 2.6183,                0.61825,                0.13517,                0.12251,                0.05904,                 2.3099,                 2.9088,                 2.4534,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.3518,                 3.7801,                 2.4896,                0.55872,                0.14318,                0.13047,                0.06472,                 2.2287,                 2.8157,                 2.3596,             0.00039223,             0.00039223,             0.00039223
                      9,                 2.2312,                  3.635,                 2.3864,                0.52427,                0.12667,                0.14323,                0.07134,                 2.1391,                 2.9152,                 2.2841,              0.0003881,              0.0003881,              0.0003881
                     10,                 2.2123,                  3.523,                  2.326,                0.58942,                0.17308,                0.17277,                0.09165,                 2.0882,                  2.625,                 2.2006,             0.00038397,             0.00038397,             0.00038397
                     11,                 2.1296,                 3.3982,                 2.2703,                0.62887,                0.20087,                0.19348,                0.10151,                 2.0351,                 2.4318,                 2.1541,             0.00037985,             0.00037985,             0.00037985
                     12,                 2.0835,                 3.3071,                 2.2277,                0.55993,                0.20047,                0.19532,                0.10481,                 1.9922,                  2.556,                 2.1301,             0.00037572,             0.00037572,             0.00037572
                     13,                 2.0105,                 3.1403,                 2.1424,                 0.5509,                0.20652,                0.21707,                0.12241,                 1.9434,                 2.4153,                 2.0779,             0.00037159,             0.00037159,             0.00037159
                     14,                  1.978,                  3.164,                 2.1277,                0.62495,                0.22644,                 0.2335,                0.13425,                 1.8695,                 2.2463,                 2.0191,             0.00036746,             0.00036746,             0.00036746
                     15,                 1.9879,                 3.1121,                 2.1125,                 0.7038,                0.21334,                0.24199,                0.13179,                 1.9291,                 2.2275,                 2.0234,             0.00036333,             0.00036333,             0.00036333
                     16,                 1.9304,                 3.1092,                 2.0824,                0.65633,                0.22856,                0.25131,                0.14386,                 1.8446,                 2.1787,                 1.9776,              0.0003592,              0.0003592,              0.0003592
                     17,                 1.9302,                 3.0295,                 2.0875,                0.67934,                0.25538,                0.27088,                0.15402,                 1.8385,                 2.1936,                 1.9723,             0.00035508,             0.00035508,             0.00035508
                     18,                  1.903,                 2.8635,                 2.0148,                0.60384,                0.27411,                0.27492,                0.15267,                 1.8635,                  2.262,                 1.9728,             0.00035095,             0.00035095,             0.00035095
                     19,                 1.8849,                 2.8777,                 1.9978,                0.69305,                0.28041,                0.29876,                  0.171,                  1.795,                 2.0808,                 1.9146,             0.00034682,             0.00034682,             0.00034682
                     20,                 1.8522,                 2.7519,                 1.9488,                 0.6661,                 0.2772,                0.27365,                0.15875,                 1.7932,                 2.1837,                 1.8917,             0.00034269,             0.00034269,             0.00034269
                     21,                 1.8718,                 2.7245,                 1.9363,                 0.5969,                 0.2712,                 0.2918,                0.16992,                 1.7912,                 2.0927,                 1.9038,             0.00033856,             0.00033856,             0.00033856
                     22,                 1.8299,                 2.7112,                 1.9052,                0.54971,                0.31826,                0.31131,                0.18087,                 1.7623,                 2.1305,                 1.8632,             0.00033443,             0.00033443,             0.00033443
                     23,                 1.7976,                 2.6604,                 1.8993,                0.57803,                0.32551,                0.32919,                 0.1959,                 1.7299,                      2,                  1.841,             0.00033031,             0.00033031,             0.00033031
                     24,                 1.8154,                 2.6907,                 1.9055,                0.54132,                0.31994,                0.33932,                0.19954,                 1.7471,                 1.9514,                 1.8645,             0.00032618,             0.00032618,             0.00032618
                     25,                 1.7909,                 2.5964,                  1.878,                0.56268,                0.33521,                0.34058,                0.20094,                 1.6743,                 1.8782,                 1.7994,             0.00032205,             0.00032205,             0.00032205
                     26,                  1.742,                 2.5603,                 1.8461,                0.56297,                0.36671,                 0.3532,                0.20455,                 1.6938,                 2.0067,                 1.8221,             0.00031792,             0.00031792,             0.00031792
                     27,                 1.7477,                 2.5947,                 1.8599,                0.57672,                0.35715,                0.35328,                0.20413,                 1.7058,                 1.8836,                 1.8102,             0.00031379,             0.00031379,             0.00031379
                     28,                 1.7341,                 2.5289,                 1.8373,                0.58267,                0.39062,                0.38651,                0.21659,                 1.6757,                 1.8536,                 1.7856,             0.00030966,             0.00030966,             0.00030966
                     29,                 1.7474,                    2.5,                 1.8261,                 0.6364,                0.34495,                0.37304,                0.21549,                 1.6851,                 1.8348,                 1.7881,             0.00030554,             0.00030554,             0.00030554
                     30,                 1.7181,                 2.4539,                 1.8206,                0.62792,                0.37249,                0.37992,                0.22266,                 1.6843,                 1.8654,                 1.7881,             0.00030141,             0.00030141,             0.00030141
                     31,                 1.7147,                 2.4722,                 1.8106,                0.57529,                0.42189,                0.40208,                0.23653,                  1.622,                 1.7757,                 1.7319,             0.00029728,             0.00029728,             0.00029728
