                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6593,                 4.8258,                  3.572,                0.53264,                0.03327,                0.00854,                0.00248,                  3.176,                 3.7258,                 2.9935,               0.070048,               0.003328,               0.003328
                      2,                 2.8319,                 3.6014,                 2.5794,                0.32373,                0.13997,                0.10121,                0.04585,                 2.3391,                 2.6857,                 2.1543,               0.039982,              0.0065954,              0.0065954
                      3,                  2.237,                 2.7706,                 2.0181,                0.34937,                0.21366,                0.17404,                0.08862,                 2.0075,                 2.5858,                 1.7816,              0.0098501,              0.0097968,              0.0097968
                      4,                 1.9948,                 2.3313,                 1.7637,                 0.4308,                0.24033,                0.23195,                0.12409,                 1.8182,                 2.1529,                 1.6173,               0.009703,               0.009703,               0.009703
                      5,                 1.8473,                 2.0596,                 1.6326,                0.45607,                0.31249,                0.29606,                0.16716,                 1.6944,                 1.8322,                 1.5135,               0.009604,               0.009604,               0.009604
                      6,                 1.7544,                 1.8528,                 1.5549,                 0.4552,                0.34268,                  0.342,                0.19496,                 1.6339,                 1.6134,                 1.4428,               0.009505,               0.009505,               0.009505
                      7,                 1.6928,                 1.7425,                 1.5046,                0.48152,                0.38343,                0.37897,                0.22002,                 1.5622,                 1.4389,                 1.3867,               0.009406,               0.009406,               0.009406
                      8,                 1.6322,                 1.6264,                 1.4455,                0.49209,                0.40711,                0.39846,                0.23502,                 1.5285,                 1.4527,                 1.3492,               0.009307,               0.009307,               0.009307
                      9,                 1.5906,                 1.5494,                 1.4191,                0.54899,                0.41875,                0.43152,                0.25186,                 1.5046,                 1.3353,                 1.3301,               0.009208,               0.009208,               0.009208
                     10,                 1.5595,                 1.4727,                 1.3873,                0.56613,                0.45731,                0.46813,                0.27615,                 1.4483,                 1.2305,                 1.2998,               0.009109,               0.009109,               0.009109
                     11,                 1.5336,                 1.4484,                 1.3704,                 0.5721,                0.46854,                0.47137,                0.28225,                 1.4537,                 1.2143,                 1.2876,                0.00901,                0.00901,                0.00901
                     12,                  1.515,                 1.3852,                 1.3434,                 0.5962,                0.48671,                0.49538,                0.29861,                  1.408,                 1.1847,                 1.2624,               0.008911,               0.008911,               0.008911
                     13,                 1.4898,                 1.3679,                 1.3301,                0.60086,                0.49958,                0.50257,                0.30458,                 1.3912,                 1.1382,                  1.237,               0.008812,               0.008812,               0.008812
                     14,                  1.474,                  1.331,                 1.3111,                0.62311,                0.51619,                0.52461,                0.31512,                 1.3863,                 1.1175,                 1.2281,               0.008713,               0.008713,               0.008713
                     15,                 1.4503,                 1.2866,                 1.2936,                0.63785,                0.52236,                0.54967,                0.33349,                 1.3595,                 1.1081,                 1.2215,               0.008614,               0.008614,               0.008614
                     16,                 1.4325,                 1.2652,                 1.2837,                0.65703,                0.53463,                0.56299,                0.34296,                 1.3388,                 1.0833,                 1.2017,               0.008515,               0.008515,               0.008515
                     17,                 1.4188,                 1.2538,                 1.2758,                0.66954,                0.54573,                0.57425,                0.35126,                 1.3417,                 1.0393,                 1.1955,               0.008416,               0.008416,               0.008416
                     18,                 1.4069,                 1.2054,                 1.2573,                0.69991,                0.54164,                0.57777,                0.35836,                 1.3179,                 1.0297,                 1.1883,               0.008317,               0.008317,               0.008317
