                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5992,                 6.1708,                 4.2276,                0.75727,                0.00451,                0.00227,                0.00055,                 3.3122,                 4.5879,                 4.0862,             0.00013863,             0.00013863,             0.00013863
                      2,                 3.4435,                 5.7005,                 3.8518,                 0.0025,                0.13472,                0.00377,                0.00115,                 3.2165,                 4.1463,                 3.6274,             0.00027488,             0.00027488,             0.00027488
                      3,                 3.1579,                 5.2287,                 3.4308,                0.43694,                0.01912,                0.01451,                0.00542,                 2.8608,                 3.7177,                 3.2338,             0.00040838,             0.00040838,             0.00040838
                      4,                 2.9225,                 4.7449,                 3.1188,                0.48642,                0.04842,                0.03417,                0.01171,                 2.7391,                  3.601,                 2.9607,             0.00040462,             0.00040462,             0.00040462
                      5,                 2.7362,                 4.4044,                  2.897,                0.46524,                0.05951,                0.06181,                0.02719,                 2.5466,                 3.3833,                 2.7316,             0.00040462,             0.00040462,             0.00040462
                      6,                 2.6134,                 4.1611,                 2.7545,                0.50333,                0.11103,                0.08101,                0.03734,                 2.3854,                 3.1275,                 2.5609,             0.00040049,             0.00040049,             0.00040049
                      7,                 2.4788,                  3.946,                 2.6122,                0.56009,                0.12577,                0.10865,                0.04991,                 2.3123,                 2.8863,                 2.4364,             0.00039636,             0.00039636,             0.00039636
                      8,                 2.3705,                 3.7558,                 2.4944,                0.65324,                0.13118,                0.14496,                0.07257,                 2.1854,                 2.8401,                 2.3287,             0.00039223,             0.00039223,             0.00039223
                      9,                 2.2278,                 3.5831,                 2.3574,                0.61656,                0.14801,                0.15129,                0.08122,                 2.1268,                 2.8233,                 2.2479,              0.0003881,              0.0003881,              0.0003881
                     10,                  2.203,                 3.4509,                 2.2959,                0.67948,                0.18758,                0.17453,                0.09337,                 2.1107,                 2.5931,                 2.1864,             0.00038397,             0.00038397,             0.00038397
                     11,                 2.1358,                 3.3408,                 2.2437,                0.71318,                0.18157,                0.18861,                0.10101,                 2.0385,                 2.5058,                 2.1249,             0.00037985,             0.00037985,             0.00037985
                     12,                  2.092,                 3.2505,                  2.212,                0.62595,                0.20648,                 0.2032,                0.11127,                 1.9585,                 2.5738,                 2.0766,             0.00037572,             0.00037572,             0.00037572
                     13,                 2.0143,                  3.088,                  2.114,                0.69526,                0.22059,                0.22289,                0.12713,                 1.9151,                 2.3272,                 2.0199,             0.00037159,             0.00037159,             0.00037159
                     14,                 1.9892,                  3.129,                 2.1063,                0.61465,                 0.2354,                0.22818,                0.12936,                 1.8698,                 2.2955,                 1.9686,             0.00036746,             0.00036746,             0.00036746
                     15,                  1.992,                 3.0719,                  2.084,                 0.5894,                0.23051,                0.25079,                0.14081,                 1.8985,                  2.184,                 1.9774,             0.00036333,             0.00036333,             0.00036333
                     16,                 1.9175,                 3.0607,                 2.0443,                0.55792,                0.24436,                0.26853,                0.15003,                 1.8853,                 2.1737,                 1.9708,              0.0003592,              0.0003592,              0.0003592
                     17,                 1.9275,                 2.9786,                   2.05,                0.48562,                 0.2571,                0.25983,                 0.1451,                 1.8339,                 2.2094,                 1.9267,             0.00035508,             0.00035508,             0.00035508
                     18,                 1.8939,                 2.8178,                 1.9783,                0.49805,                 0.2696,                0.26265,                0.15242,                 1.8682,                 2.2518,                 1.9418,             0.00035095,             0.00035095,             0.00035095
                     19,                 1.8727,                 2.8296,                 1.9626,                0.44683,                0.27302,                0.27712,                0.16227,                  1.765,                  2.173,                 1.8675,             0.00034682,             0.00034682,             0.00034682
                     20,                 1.8417,                  2.702,                 1.9059,                0.53873,                0.28527,                0.27449,                0.15855,                 1.7943,                  2.189,                 1.8615,             0.00034269,             0.00034269,             0.00034269
                     21,                 1.8541,                 2.6841,                 1.8968,                0.48707,                0.31059,                0.29516,                0.17247,                 1.7494,                 2.0788,                 1.8369,             0.00033856,             0.00033856,             0.00033856
                     22,                 1.8296,                 2.6742,                 1.8688,                0.50586,                0.32568,                0.31747,                0.18926,                 1.7125,                  2.024,                 1.7857,             0.00033443,             0.00033443,             0.00033443
                     23,                 1.7773,                  2.591,                 1.8584,                0.46165,                0.31902,                0.31384,                0.18463,                 1.7027,                 1.9631,                 1.7889,             0.00033031,             0.00033031,             0.00033031
                     24,                 1.7996,                 2.6423,                 1.8712,                0.44033,                0.35529,                0.34121,                0.19845,                 1.6917,                 1.9242,                 1.7749,             0.00032618,             0.00032618,             0.00032618
                     25,                 1.7835,                 2.5334,                 1.8497,                0.40403,                0.34915,                0.32989,                 0.1952,                 1.6823,                  1.896,                 1.7796,             0.00032205,             0.00032205,             0.00032205
                     26,                 1.7301,                 2.4904,                  1.814,                0.39309,                0.37653,                0.34197,                0.19759,                 1.6685,                 2.0621,                 1.7756,             0.00031792,             0.00031792,             0.00031792
                     27,                 1.7243,                 2.5232,                 1.8198,                0.49646,                 0.3556,                0.35538,                0.20622,                 1.6842,                 1.8739,                 1.7473,             0.00031379,             0.00031379,             0.00031379
                     28,                 1.7173,                 2.4691,                 1.8007,                0.42115,                0.42065,                0.37139,                0.21894,                 1.6354,                 1.8288,                 1.7184,             0.00030966,             0.00030966,             0.00030966
                     29,                  1.715,                 2.4541,                 1.7849,                 0.5298,                0.36323,                0.36541,                0.21375,                 1.6716,                 1.8455,                 1.7381,             0.00030554,             0.00030554,             0.00030554
                     30,                 1.6934,                 2.3962,                 1.7835,                0.49687,                0.37022,                0.38489,                0.23021,                 1.6578,                 1.8035,                 1.7368,             0.00030141,             0.00030141,             0.00030141
                     31,                 1.6936,                 2.4185,                 1.7622,                0.51556,                0.41546,                0.39581,                0.23529,                 1.6079,                 1.7773,                 1.6903,             0.00029728,             0.00029728,             0.00029728
                     32,                 1.6707,                 2.2795,                 1.7257,                0.61034,                0.39357,                0.38985,                0.23054,                 1.6483,                 1.7606,                 1.7157,             0.00029315,             0.00029315,             0.00029315
                     33,                  1.654,                 2.3273,                 1.7425,                0.50832,                0.43161,                0.39474,                0.24312,                 1.5784,                 1.7729,                 1.6587,             0.00028902,             0.00028902,             0.00028902
                     34,                 1.6601,                 2.2824,                 1.7259,                0.45434,                0.43693,                0.40911,                 0.2454,                 1.5829,                 1.7885,                 1.6562,             0.00028489,             0.00028489,             0.00028489
                     35,                 1.6373,                 2.3104,                  1.725,                0.45217,                 0.4401,                0.40461,                0.23624,                 1.5984,                 1.7684,                 1.6696,             0.00028077,             0.00028077,             0.00028077
                     36,                 1.6379,                 2.1995,                 1.6825,                0.51242,                0.44385,                0.42828,                0.25373,                  1.566,                    1.7,                 1.6501,             0.00027664,             0.00027664,             0.00027664
                     37,                 1.6083,                 2.2333,                  1.696,                  0.456,                0.46909,                0.42803,                0.26132,                  1.545,                 1.7204,                  1.627,             0.00027251,             0.00027251,             0.00027251
                     38,                 1.6165,                 2.2465,                 1.6796,                0.50092,                0.47603,                0.42836,                0.25305,                 1.5372,                 1.7366,                 1.6297,             0.00026838,             0.00026838,             0.00026838
                     39,                 1.6144,                 2.2231,                 1.6802,                0.45523,                0.43786,                0.42586,                0.26112,                 1.5443,                 1.6826,                  1.622,             0.00026425,             0.00026425,             0.00026425
                     40,                 1.6252,                 2.2395,                 1.6727,                0.51337,                0.44041,                0.42702,                0.26236,                 1.5661,                 1.7118,                   1.63,             0.00026012,             0.00026012,             0.00026012
                     41,                 1.5747,                 2.1406,                 1.6565,                 0.4873,                0.43049,                0.42998,                0.26648,                 1.5284,                  1.596,                 1.6078,               0.000256,               0.000256,               0.000256
                     42,                 1.5655,                 2.1195,                 1.6485,                0.46753,                0.48147,                0.44164,                0.27022,                 1.5448,                 1.6428,                 1.6095,             0.00025187,             0.00025187,             0.00025187
                     43,                  1.581,                 2.1408,                 1.6398,                0.47088,                0.47669,                0.44457,                0.27509,                 1.5183,                 1.6261,                 1.5946,             0.00024774,             0.00024774,             0.00024774
                     44,                 1.5965,                 2.1552,                 1.6456,                0.49118,                0.45951,                 0.4505,                 0.2734,                 1.5034,                 1.6226,                 1.5823,             0.00024361,             0.00024361,             0.00024361
                     45,                 1.5597,                  2.097,                 1.6316,                0.51784,                0.47728,                0.47196,                0.29161,                 1.4938,                 1.6265,                 1.5665,             0.00023948,             0.00023948,             0.00023948
                     46,                 1.5622,                 2.1095,                  1.629,                0.47762,                0.46897,                0.46963,                0.28739,                 1.5068,                 1.5373,                 1.5787,             0.00023535,             0.00023535,             0.00023535
                     47,                 1.5702,                 2.0435,                 1.6249,                0.49472,                0.50133,                0.47057,                 0.2865,                 1.5066,                 1.6088,                 1.5786,             0.00023123,             0.00023123,             0.00023123
                     48,                 1.5289,                 2.0403,                 1.6118,                0.48122,                0.51265,                 0.4739,                0.29327,                 1.4641,                 1.5285,                 1.5454,              0.0002271,              0.0002271,              0.0002271
                     49,                 1.5268,                 2.0189,                 1.5945,                0.51915,                0.48211,                0.45739,                0.28294,                 1.4759,                 1.6007,                  1.553,             0.00022297,             0.00022297,             0.00022297
                     50,                  1.519,                 1.9813,                  1.583,                0.51648,                0.50369,                0.47596,                0.29875,                 1.4638,                 1.5695,                 1.5378,             0.00021884,             0.00021884,             0.00021884
                     51,                 1.5231,                 2.0663,                 1.6132,                0.53729,                0.48729,                0.48649,                0.30163,                 1.4738,                 1.5347,                 1.5441,             0.00021471,             0.00021471,             0.00021471
                     52,                 1.5101,                 2.0224,                 1.5911,                0.51258,                0.50184,                 0.4807,                0.29912,                 1.4841,                 1.5891,                 1.5481,             0.00021059,             0.00021059,             0.00021059
                     53,                 1.5267,                  2.069,                 1.6113,                0.53004,                0.49988,                0.49073,                0.30072,                 1.4939,                  1.553,                 1.5511,             0.00020646,             0.00020646,             0.00020646
                     54,                 1.5303,                 1.9847,                 1.5603,                0.55602,                0.46189,                0.48009,                0.29959,                 1.4812,                 1.5097,                 1.5327,             0.00020233,             0.00020233,             0.00020233
                     55,                 1.5135,                 1.9693,                   1.56,                0.55498,                0.48474,                0.48919,                0.30522,                 1.4679,                 1.5186,                 1.5287,              0.0001982,              0.0001982,              0.0001982
                     56,                 1.5321,                 2.0192,                 1.6103,                0.49187,                0.50359,                0.48177,                0.30849,                 1.4596,                 1.5983,                  1.527,             0.00019407,             0.00019407,             0.00019407
                     57,                 1.4902,                 1.9375,                 1.5648,                0.51089,                0.50953,                0.49049,                 0.3002,                 1.4731,                 1.5725,                 1.5398,             0.00018994,             0.00018994,             0.00018994
                     58,                 1.4593,                 1.8775,                 1.5374,                0.54024,                0.50661,                0.50165,                0.31352,                 1.4548,                 1.5295,                 1.5173,             0.00018582,             0.00018582,             0.00018582
                     59,                 1.4936,                 2.0836,                 1.5658,                0.52687,                0.52416,                0.50894,                0.31555,                 1.4521,                 1.5399,                 1.5168,             0.00018169,             0.00018169,             0.00018169
                     60,                 1.4655,                 1.9177,                 1.5503,                0.56658,                0.52423,                0.50832,                0.31951,                 1.4496,                 1.5213,                 1.5133,             0.00017756,             0.00017756,             0.00017756
                     61,                 1.4796,                 1.8769,                 1.5253,                0.57097,                0.51119,                0.50562,                0.31551,                 1.4457,                 1.4871,                 1.5028,             0.00017343,             0.00017343,             0.00017343
                     62,                 1.4722,                 1.8903,                 1.5416,                0.59797,                0.53259,                0.52159,                 0.3235,                 1.4558,                 1.4843,                 1.5179,              0.0001693,              0.0001693,              0.0001693
                     63,                 1.4628,                 1.8659,                 1.5162,                0.54088,                0.50715,                0.49585,                0.31208,                 1.4433,                 1.5149,                 1.5019,             0.00016517,             0.00016517,             0.00016517
                     64,                 1.4712,                 1.8318,                 1.5002,                0.57073,                0.52989,                0.51735,                0.32542,                 1.4298,                 1.4784,                 1.4938,             0.00016105,             0.00016105,             0.00016105
                     65,                 1.4429,                 1.8648,                 1.5217,                0.56593,                0.55043,                0.52244,                0.33019,                 1.4336,                 1.4782,                 1.4947,             0.00015692,             0.00015692,             0.00015692
                     66,                 1.4775,                 1.9101,                 1.5167,                0.56338,                  0.533,                0.52243,                0.32824,                 1.4335,                 1.5517,                 1.4965,             0.00015279,             0.00015279,             0.00015279
                     67,                 1.4686,                 1.8892,                 1.5245,                0.57028,                0.54936,                0.53142,                 0.3312,                 1.4027,                 1.4087,                 1.4725,             0.00014866,             0.00014866,             0.00014866
                     68,                 1.4337,                 1.8657,                 1.5181,                0.57693,                0.53206,                0.52312,                0.33014,                   1.44,                 1.4709,                 1.4931,             0.00014453,             0.00014453,             0.00014453
                     69,                 1.4715,                 1.8872,                 1.5377,                0.56047,                0.52665,                0.53922,                0.34251,                 1.4113,                 1.4083,                 1.4762,              0.0001404,              0.0001404,              0.0001404
                     70,                 1.4273,                 1.8103,                 1.5133,                0.59461,                0.53542,                0.54818,                0.34435,                 1.4048,                 1.3922,                 1.4748,             0.00013628,             0.00013628,             0.00013628
                     71,                 1.4248,                 1.8408,                 1.5045,                0.60599,                0.52905,                0.54689,                0.34968,                 1.3978,                 1.4691,                 1.4772,             0.00013215,             0.00013215,             0.00013215
                     72,                 1.4175,                 1.8488,                 1.5093,                0.59598,                0.52636,                0.53683,                0.33604,                 1.4197,                 1.4399,                 1.4777,             0.00012802,             0.00012802,             0.00012802
                     73,                 1.4217,                 1.8268,                 1.5058,                0.58069,                0.52761,                0.54758,                 0.3472,                 1.4136,                 1.4782,                 1.4736,             0.00012389,             0.00012389,             0.00012389
                     74,                 1.3943,                 1.7437,                 1.4868,                 0.5701,                0.55442,                0.55024,                0.34218,                 1.4091,                 1.4869,                 1.4646,             0.00011976,             0.00011976,             0.00011976
                     75,                 1.3912,                 1.7891,                 1.4861,                0.57167,                0.56175,                0.55309,                0.35118,                 1.3918,                 1.3592,                 1.4606,             0.00011563,             0.00011563,             0.00011563
                     76,                  1.404,                 1.7556,                  1.478,                0.61802,                0.52911,                 0.5486,                0.34447,                 1.4073,                 1.3987,                  1.475,             0.00011151,             0.00011151,             0.00011151
                     77,                 1.3949,                 1.7752,                  1.473,                0.63534,                0.53119,                0.54811,                0.34737,                 1.3869,                 1.4367,                 1.4621,             0.00010738,             0.00010738,             0.00010738
                     78,                 1.4151,                 1.7881,                 1.4867,                0.58945,                0.52679,                0.54623,                 0.3448,                 1.3848,                 1.4066,                  1.452,             0.00010325,             0.00010325,             0.00010325
                     79,                 1.3988,                 1.7917,                 1.4847,                0.57567,                0.52458,                0.54115,                0.34291,                 1.4114,                 1.4902,                  1.461,             9.9121e-05,             9.9121e-05,             9.9121e-05
